No,Kalimat,Deskripsi Topik,Detail Topik,Sentimen,Skor Sentimen
2309,Aplikasinya sangat sangat membantu sekali,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.738
2310,cepat sampe hari langsung di antar mantappp,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.999
2311,alhamdulillah sdh d trima makasih,Topik Tidak Relevan,Tidak Ditemukan,Positif,1.0
2312,susah mau bayar pajak online mesti ke Samsat dlu,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.987
2313,kenapa gak bisa validasi,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.638
2314,harusnya utk pembelian motor second juga difasilitasi bukan dipersulit utk pembayaran pajaknya di aplikasi ini,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.888
2315,terima kasihh,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.91
2316,mempermudah pembayaran pajak tapi pengiriman lama banget,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.466
2317,ok gaperlu jauh pergi ke samsat untuk bayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.892
2318,mantaplah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.979
2319,terima kasih dokumen sudah diterima,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.989
2320,walau menurut sy pemrosesan di Samsat terlalu lama sehingga melampaui tanggal jatuh tempo STNK,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.963
2321,knp sekarang parkir langganan di total padahal tahun kemarin tidak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.958
2322,masukan mohon ketika input alamat ke bagian pos di cek kembali karena STNK saya sempat nyasar jauh karena bagian pos info tidak ada kelurahan kecamatan di alamat nya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.923
2323,dan juga perlu penyempurnaan pada bagian chat customer service nya supaya ketika keluar chattroomnya kita masuk lagi tidak perlu ulangi dari awal laporan nya,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.978
2324,karena waktu saya lapor ke chat respon juga agak lama,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.995
2325,Cepat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.799
2326,dan mudah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.883
2327,Sudah dapat kode bayar mau bayar tidak keluar tagihannya dari BNI Mandiri BRIMO Linkaja dana dan gopay sudah di coba tidak keluar juga tagihan tolong perbaiki lagi sistemnya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.99
2328,mau bayar aja di persulit,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.851
2329,mudah dan tidak ribet dan lngsung di kirim k alamat kita,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.891
2330,Sangat membantu dan proses cepat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.994
2331,aplikasi sangat membantu untuk yang merantau jauh jadi gak perlu pulang untuk pajak cukup dengan aplikasi ini,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.987
2332,lebih percepat lagi pengirimannya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.929
2333,sangat trbantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.539
2334,ringkas dan cepat pertanyaannya apakah diperlukan lagi fisik dari pajak stnk apakah tanda bukti elektrik ini sah apabila sdh dilakukan pembayaran,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Netral,0.753
2335,Sangat terbantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.939
2336,bintang dulu krn poses pengiriman lama di kolektif,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.979
2337,lebih simpel ga perlu dateng pengiriman cepet,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.998
2338,mantap memudahkan sekali,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.996
2339,maantaaaaap sangat membantu dan mudah penggunanya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.984
2340,Kenapa kode otp nya tidak di kirim kan lagi sedang kan dalam hari max kali,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.987
2341,gak pake ribet gak pake antri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.974
2342,luarr biasa aplikasi signal ini sangat memuaskan gak bikin was was pokonya puasss,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.95
2343,amazing,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.752
2344,Pengiriman STNK cukup lama,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.913
2345,percuma ni aplikasi mau bayar pajak atas nama sendiri muncul tidak terdaftar harus ke samsat percuma ada spk signal tidak membantu,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.97
2346,Sangat membantu dan bisa dilakukan dari rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.985
2347,cukup baik mudah pembayaran lewat aplikasi signal cuma bukti pengesahan nya minta dikirim k alamat rumah dan sdh nambah biasanya kirim tp tdk ada datang sudah lebih bulan sejak pembayaran,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Netral,0.67
2348,server jelek koneksi jdi sering terputus,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.989
2349,tolong pemerintah d tindak lanjuti dengan aplikasi yang di buat tidak bisa di gunakan,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.713
2350,Sangat mempermudah masyarakat saat membayar pajak kendaraannya yang memiliki kesibukan kerja ataupun usaha yang tidak bisa di tinggalkan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.896
2351,Sekarang bisa Online dan berkas bisa di antar langsung ke rumah pemilik kendaraan,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.941
2352,sesuai tgl mati nya pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.548
2353,Sangat membantu untuk yang tidak punya waktu mudah dan ga ribet cepat lagi,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.994
2354,mempermudah perpanjangan STNK tahunan,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.774
2355,aplikasi sangat membantu dan sangat mudah untuk bayar pajak hanya saja perlu tambahan jika kita mau samsat motor bekas dan bukan atas nama kita sendiri supaya bisa taat pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.983
2356,mantap praktis,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
2357,Pengiriman via pos sangat buruk mending di ganti JNT masa alamat di aplikasi ini sudah benar di pos salah besar,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.991
2358,total biaya sampe selesai rb beda rb sama nitip di biro jasa,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.997
2359,sangat mudah dan amanah jika bayar pajak bisa lewat online,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.984
2360,sangat membantu tanpa harus ke samsat saran saya pake jasa pos reguler saja saya pakai ekspres malah mingguan baru di kirim saya tanya ke kurir posnya nunggu banyak dulu pa dri Samsat nya baru di kirim ke pos nya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.423
2361,Aplikasi yang memudahkan masyarakat untuk taat pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.838
2362,semoga kedepan nya bisa improve untuk penggantian PLAT bisa melalui SIGNAL ini,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Netral,0.995
2363,aamiin,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.673
2364,sudah bagus mohon ditingkatkan lagi pelayanan nya pengiriman cepat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.554
2365,proses cepat hari sudah dikirim kerumah tanpa harus antri,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.997
2366,aplikasi yang baik ada mines di pengiriman berkas saja,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.677
2367,sangat membantu sekali ngurangi antrian juga,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.99
2368,pengiriman agak lama selbih nya ok,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.526
2369,lma setengah bln,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.547
2370,bru nympe,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.502
2371,kl bsa lebih di persingkat lg,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.485
2372,pembuatan dn pengiriman ya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Netral,0.611
2373,membantu untuk org indonesia yg malas keluar rumah semoga kedepan nya ada pilihan kurir yg lebih cepat,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.992
2374,cukup baik pelayanan lumayan cepet juga semoga lebih cepet lagi,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.967
2375,praktis ga perlu mgantri,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.998
2376,mamtaapp,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.506
2377,amanah dan mudah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.997
2378,sangat memudahkan sekali,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.693
2379,luar biasa proses cpt sampe ketujuan,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.682
2380,trimakasih,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.909
2381,berkali di mintain kode OTP nya nggak Ada di kirim,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.976
2382,lama sekali prosesnya bulan lebih ya ampun,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.845
2383,baguss,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.92
2384,simpel kalo posisi gak sempet k Samsat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.953
2385,ok mantul gan.sangat membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.998
2386,mungkin salah satunye aplikasi yg mudah dan cepat dari pemerintah,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.98
2387,terimakasih atas pelayanan,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.981
2388,pas saya mau bayar milih metode pembayaran ga bisa milih Indomaret muter Alfamart muter BCA sama di perbaiki lagi ini klw sampe bisa sangat membatu,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.964
2389,gak bisa bayar kodenya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.527
2390,bagus bgt gsah kesamsat lg,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.989
2391,Mudah dan cepat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.985
2392,tanpa harus antri mudah penggunaan aplikasi signal,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.997
2393,Butuh waktu kurleb minggu Bukti PKB di kirim ke rumah,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.977
2394,sering ada tilangan tp giliran mau bayar pajak di persulit tahun kemaren bisa tp kenapa skrng mau bayar mlh butuh validasi dari samsat,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.983
2395,apa apaan,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Netral,0.56
2396,Sudah ke x bayar via signal,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Positif,0.587
2397,tapi untuk yang ke x nya kenapa status pengirman ga berubah dari tgl sampai sekarang tgl belum sampai juga status masih pra collecting entar klo bawa motor kena ada razia polisi bagaimana,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.993
2398,alhamdulillah sangat membantu sekali Terima kasih polri,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,1.0
2399,Sangat memudahkan dalam pembayaran pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.797
2400,kok verifikasi nya gak dikirim sih,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.877
2401,joss poe mempermudah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.997
2402,mantappp proses cepat ga ribet hari STNK sampai di lokasi good,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,1.0
2403,sangat membantu sekali terimakasih signal,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.993
2404,untuk yg sibuk dengan urusan yang tidak bisa ditinggalkan melalui aplikasi signal inilah solusinya terimakasih signal mantap,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.95
2405,Produk mantap dan berkualitas tidak usah datang ke Samsat lagi untuk memperpanjang STNK,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.908
2406,Joss pokoknya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.994
2407,masih perlu pengembangan,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Positif,0.622
2408,Mantabs nih ngga perlu repot ke samsat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.999
2409,mantabss,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.593
2410,kalo buat aplikasi yg berguna dikit bagi masyarakat yg mau bayar lewat online,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.505
2411,Ini aplikasi anggarannya pasti gede kalo emang pembaruan sistem cepat dibenahi bukannya dipersulit ketika mau bayar,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.766
2412,merugikan banget bagi pengguna yg udah daftar tapi gagal waktu pembayaran,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.996
2413,bayar tgl stnk nyampe tgl .padahal pake pos express,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.978
2414,jadi mudah bayar pajak tanpa antri bisa di kirim juga ke rumah cuma saran knp ga di gabung sama aplikasi pemerintah yg lain ya kaya digital korlantas gitu,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.994
2415,bayar pajak kendaraan lebih praktis gak perlu antri kekurangannya banyak biaya adminnya sampai Rp,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.995
2416,rb,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.604
2417,gak guna lagi lagi harus nama sendiri kendaraan nya gak bisa cek atau liat aja perkiraan biaya,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.578
2418,duduk di kursi rumah buka app signal bayar pajak selesai,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.986
2419,proses cepat sejauh ini app pemerintah yang terbaik ya ini,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.9
2420,buruk masa gagal Mulu daftar,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.999
2421,Proses dan pengiriman mantap Lebih di tingkatkan lagi baik dalam aplikasi maupun pelayanan nya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.928
2422,tanpa ribet,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.627
2423,Proses Cepat simple dan terpercaya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.999
2424,pembayaran lebih mudah dan pengiriman STNK nya cepet bangat Mantap,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.997
2425,Aplikasi sangat mudah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.823
2426,Kapan dokumen akan di kirim ke alamat penerima sudah bulan blm sampai juga,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.827
2427,Praktis dan tepat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.997
2428,ok hemat waktu biaya,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Positif,0.872
2429,Pengiriman tidak ada pilihan lain lebih murah dan cepat bayar langsung dripada pake aplikasi,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Netral,0.424
2430,puass,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.707
2431,mantap lah gak usah repot samsat ataupun ke biro jodoh eh biro jasa deng kalau mau bayar pajak kendaraan saran saya sih BALIK NAMA juga harus bisa karena lebih enak praktis tinggal tunggu di rumah duduk manis,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.999
2432,jelek aplikasi nya eror mulu sgt ga jelas,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.999
2433,Mudah cepat dan sangat efisien,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
2434,Hemat waktu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.956
2435,ini gimana sih sesibuk apa servernya tinggal transaksi aj loading lama amat ngga keluar,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.722
2436,sangat memudahkan untuk pembayaran pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.797
2437,memudahkan membayar pajak Kendaraan dan cepat hari langsung sampai pengiriman terimakasih pos Indonesia,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.996
2438,Alhamdulillah signal Samsat memudahkan cara bayar pajak online tidka perlu repot ke datang Samsat,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,1.0
2439,puassss,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.733
2440,proses mudah,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.907
2441,hr stnk sudah diterima,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.503
2442,aplikasi harus di lengkapi lagi untuk pembayaran pajak kendaraan bukan atas nama pribadi jadi bisa mempermudah masyarakat membayar pajak kendaraan atas nama orang lain,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.557
2443,Permudah perpanjangan stnk gak usah ngantri mudah pembayarannya hanya selesai hr,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.999
2444,mentok pas di pembayaran dan di pengiriman ke rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.727
2445,daftar malah bengong waktu klik lanjutan error hadeuhhhh,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.996
2446,sangat membantu buat byar pajak tp kalok bisa dipercepat pengirimnya dan di perbaiki sistimnya kdang susah masuk aplikasinya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.658
2447,prosesnya sangat lama harus bikin pengaduan di email,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.985
2448,setelah hari baru di proses,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.511
2449,surat pajak kendaraan sudah saya terima,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.979
2450,praktis dan jd no calo,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Positif,0.996
2451,sgt membantu sekali terimakasih,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.989
2452,aplikasi bosok pembayaran lemotnya minta ampun,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.979
2453,ini mau di bayar gasi pajaknya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.802
2454,aturan ambil STNK sekarang agak sulit ya gabisa ambil di kantor cabang,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.914
2455,tadi saya langsung ditolak petugas samsat cabang karna bayar pakai aplikasi signal dan petugasnya bilang aturan sejak Januari bayar di signal ambilnya di kantor pusat,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.981
2456,makin susah aja,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.928
2457,kecewa banget,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.901
2458,kalau bisa jgn transaksi malam,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.758
2459,Mantap bgt,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.989
2460,josss jadi gak usah antri lagii langsung dikirim tinggal ngopi aja sambil nunggu,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.997
2461,semoga aplikasi SIGNAL makin bagus dan semakin berkembang,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.497
2462,ini aplikasi apa tidak bisa digunakan atau gimana ya sudah saya instal lanjut proses registrasi tapi cuma nyampe MASUKAN KODE OTP namun tidak ada pemberian kode OTP baik dari via WA maupun SMS,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.96
2463,Terbaik SIGNAL,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Netral,0.925
2464,Mantraaap,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.589
2465,semoga ke depan plat mobil juga bisa by online saja,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Netral,0.992
2466,sudah bayar Ongkir Dikirim ke rumah Tapi Disuruh ambil k samsat atau print sendiri,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.989
2467,Mantap KORUPSI terus biaya ongkir POS,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.701
2468,lebih gampang pengurusannya,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.996
2469,dari kemarin gk bisa melakukan pengesahan tahun kemaren bisa tahun ini malah gk bisa padahal sudah jatuh tempo hedeh,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.557
2470,TIDAK MEMPERMUDAH,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.883
2471,TOP MARKOTOP,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.985
2472,Pengirimannya sebulan semoga kedepannya bisa ditingkatkan,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Netral,0.83
2473,sangat membantu dan memangkas waktu tidak perlu ke Samsat STNK meluncur kerumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.979
2474,cepat prosesnya hari sudah sampai alamat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.804
2475,proses sangat cepat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.835
2476,JANGAN DI DOWNLOAD APLIKASI DICOBA KALI VERIFIKASI TIDAK BISA LOGIN,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.779
2477,pelayanan bagus tidak ribet hanya saja harus di push terus biar tidak lama kirim dokumen stnk nya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.988
2478,jadi mudah untuk pembayaran pajak tidak perlu lagibdatang ke samsat,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.982
2479,Mudah dan cepat prosesnya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.988
2480,alhamdulillah proses cepat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.999
2481,app tak bisa digunakan,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.71
2482,mantap ga repot harus k samsat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.999
2483,lama pelayanannya,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.618
2484,kurir yang anter lama respondnya,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.704
2485,masa bulan stnk blm di cetak,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.898
2486,lelet amat kerjanya,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.822
2487,kalo ga gembor ngemail tiap hari kayanya masih stuck di samsat tu stnk kaga di cetak pdhl bayar ga gratis,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.993
2488,Mohon tambahkan tutorial atau panduan atau alur lengkap,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.988
2489,harus bener bener sabar soalnya agak susah masuknya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.896
2490,cepet banget sampe nya,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.839
2491,respon lama,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Negatif,0.606
2492,Terima kasih utk aplikasi signalnya,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.979
2493,pelayanannya sungguh cepat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.993
2494,sy tdk kecewa memakai aplikasi ini,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.717
